ride_id,driver_id,customer_id,pickup_location,drop_location,distance_km,ride_duration,fare_amount,surge_multiplier,ride_date,payment_type
1,126,1039,Kukatpally,Kukatpally,24.88,55,350.38,2.1,2025-01-18 22:12:00,UPI
2,102,1084,Hyderabad,Hitech City,21.72,15,450.19,1.1,2025-01-05 00:19:00,Card
3,113,1048,Madhapur,Kukatpally,23.97,14,50.01,2.2,2025-01-25 22:31:00,Cash
4,132,1003,Gachibowli,Madhapur,20.27,42,486.37,1.7,2025-01-24 10:33:00,UPI
5,112,1070,Madhapur,Hitech City,14.59,31,363.66,1.6,2025-01-06 01:41:00,Cash
6,139,1066,Hitech City,Hitech City,20.99,51,238.22,2.2,2025-01-05 01:14:00,UPI
7,141,1066,Gachibowli,Secunderabad,20.78,11,183.05,1.6,2025-01-01 04:40:00,UPI
8,118,1011,Hitech City,Kukatpally,10.71,52,107.11,2.5,2025-01-10 16:31:00,UPI
9,103,1020,Kukatpally,Madhapur,6.07,13,342.4,1.8,2025-01-14 13:08:00,Cash
10,133,1071,Hyderabad,Hitech City,8.21,46,172.51,2.0,2025-01-06 09:01:00,Cash
11,122,1047,Hyderabad,Kukatpally,24.59,60,261.94,2.3,2025-01-16 14:20:00,Cash
12,147,1038,Kukatpally,Gachibowli,22.02,24,182.73,2.3,2025-01-04 09:10:00,Cash
13,132,1060,Madhapur,Gachibowli,9.02,21,311.24,1.0,2025-01-12 01:21:00,Cash
14,140,1039,Hyderabad,Kukatpally,7.93,44,244.31,1.4,2025-01-14 14:48:00,UPI
15,103,1094,Kukatpally,Hitech City,19.94,43,117.3,2.1,2025-01-15 10:02:00,Card
16,132,1063,Gachibowli,Hitech City,4.72,41,244.34,2.2,2025-01-28 18:24:00,Card
17,111,1096,Gachibowli,Gachibowli,7.88,14,274.55,2.1,2025-01-07 02:36:00,UPI
18,142,1068,Kukatpally,Hitech City,4.13,53,135.57,2.1,2025-01-10 01:42:00,Card
19,100,1100,Gachibowli,Secunderabad,2.9,43,131.93,1.5,2025-01-12 01:25:00,Cash
20,112,1068,Gachibowli,Kukatpally,2.74,35,486.88,1.5,2025-01-26 17:21:00,UPI
21,140,1025,Hyderabad,Hitech City,9.78,33,323.16,1.7,2025-01-26 07:51:00,Card
22,112,1000,Gachibowli,Secunderabad,6.04,29,284.71,1.2,2025-01-24 21:28:00,UPI
23,144,1080,Hitech City,Gachibowli,22.66,37,202.23,1.9,2025-01-22 06:11:00,Card
24,133,1023,Hyderabad,Gachibowli,14.41,60,228.31,2.0,2025-01-01 10:20:00,Cash
25,118,1063,Kukatpally,Gachibowli,22.29,14,474.74,2.3,2025-01-09 20:41:00,Cash
26,129,1054,Madhapur,Hitech City,4.14,51,56.98,1.3,2025-01-03 09:55:00,Card
27,124,1033,Madhapur,Gachibowli,4.94,27,351.85,1.5,2025-01-13 18:10:00,Card
28,112,1019,Hitech City,Kukatpally,24.26,40,71.22,1.3,2025-01-17 17:29:00,Cash
29,132,1033,Hyderabad,Hitech City,14.01,54,278.21,1.5,2025-01-27 17:42:00,Card
30,113,1030,Madhapur,Madhapur,12.43,29,65.72,2.4,2025-01-04 00:19:00,Cash
31,107,1086,Hitech City,Hitech City,23.85,6,67.12,1.8,2025-01-16 13:51:00,Card
32,136,1033,Gachibowli,Kukatpally,13.72,16,150.45,1.6,2025-01-05 22:24:00,UPI
33,139,1013,Hitech City,Secunderabad,10.43,52,163.32,1.9,2025-01-16 08:06:00,Cash
34,145,1078,Gachibowli,Kukatpally,21.7,10,204.72,1.9,2025-01-08 16:11:00,Card
35,116,1034,Hyderabad,Gachibowli,18.84,38,291.78,1.0,2025-01-27 22:08:00,Cash
36,107,1052,Hitech City,Madhapur,12.6,17,160.97,1.7,2025-01-18 10:17:00,Card
37,132,1068,Hitech City,Gachibowli,15.14,29,306.88,2.4,2025-01-30 07:53:00,UPI
38,113,1093,Kukatpally,Hitech City,9.4,56,432.55,1.1,2025-01-10 16:35:00,Cash
39,100,1028,Gachibowli,Kukatpally,20.14,31,117.18,2.4,2025-01-12 08:57:00,UPI
40,136,1038,Madhapur,Hitech City,6.1,51,241.19,2.0,2025-01-12 01:41:00,Card
41,123,1022,Hitech City,Madhapur,6.46,41,243.14,1.1,2025-01-19 02:25:00,Cash
42,102,1027,Madhapur,Gachibowli,6.24,31,143.78,1.3,2025-01-28 04:01:00,UPI
43,142,1096,Hitech City,Hitech City,12.91,17,429.26,2.4,2025-01-19 10:14:00,Card
44,128,1058,Kukatpally,Secunderabad,3.83,11,78.15,1.3,2025-01-30 06:38:00,Card
45,101,1057,Kukatpally,Hitech City,23.08,6,220.92,2.2,2025-01-09 05:08:00,UPI
46,149,1008,Gachibowli,Madhapur,6.95,25,444.93,2.0,2025-01-18 10:07:00,Cash
47,128,1005,Gachibowli,Hitech City,4.21,51,161.62,1.3,2025-01-06 16:12:00,UPI
48,100,1013,Gachibowli,Hitech City,13.9,22,399.97,2.4,2025-01-24 13:39:00,Card
49,148,1089,Hyderabad,Kukatpally,2.36,52,59.62,1.9,2025-01-10 21:31:00,UPI
50,111,1095,Kukatpally,Hitech City,15.27,36,300.89,1.7,2025-01-18 20:46:00,UPI
51,104,1082,Hitech City,Gachibowli,5.45,49,293.06,2.1,2025-01-30 22:07:00,UPI
52,113,1074,Kukatpally,Hitech City,11.43,19,221.43,2.5,2025-01-23 23:48:00,Card
53,104,1088,Kukatpally,Gachibowli,11.38,22,205.47,1.6,2025-01-23 07:12:00,Cash
54,131,1017,Gachibowli,Kukatpally,8.33,38,219.67,2.0,2025-01-23 11:37:00,Cash
55,133,1006,Hyderabad,Hitech City,21.06,40,304.42,1.8,2025-01-15 10:04:00,Cash
56,141,1035,Hitech City,Hitech City,15.73,16,152.23,1.6,2025-01-07 18:21:00,Card
57,136,1001,Hyderabad,Kukatpally,15.54,37,165.45,1.8,2025-01-28 16:11:00,Cash
58,144,1065,Kukatpally,Secunderabad,12.22,5,209.7,1.5,2025-01-06 10:52:00,UPI
59,142,1038,Kukatpally,Madhapur,6.61,26,215.61,2.5,2025-01-19 00:54:00,Cash
60,144,1005,Hitech City,Gachibowli,6.2,30,82.81,1.8,2025-01-20 21:00:00,Cash
61,145,1050,Hitech City,Hitech City,9.57,43,492.01,1.1,2025-01-19 10:17:00,UPI
62,148,1054,Kukatpally,Hitech City,3.42,7,322.27,1.9,2025-01-29 14:00:00,UPI
63,127,1079,Hyderabad,Kukatpally,9.6,9,208.44,2.3,2025-01-17 00:26:00,UPI
64,108,1005,Kukatpally,Gachibowli,24.1,32,64.05,2.4,2025-01-14 10:38:00,Cash
65,109,1034,Kukatpally,Kukatpally,24.01,16,159.53,2.3,2025-01-15 19:39:00,Cash
66,130,1039,Madhapur,Gachibowli,24.07,5,63.15,2.0,2025-01-28 01:00:00,UPI
67,123,1015,Kukatpally,Hitech City,13.17,18,414.48,1.1,2025-01-20 07:37:00,Card
68,111,1035,Gachibowli,Kukatpally,4.95,20,91.48,2.2,2025-01-29 02:28:00,Card
69,139,1005,Kukatpally,Hitech City,16.8,18,57.88,1.8,2025-01-01 15:31:00,UPI
70,104,1090,Kukatpally,Secunderabad,18.92,36,144.13,1.5,2025-01-05 07:11:00,UPI
71,101,1003,Kukatpally,Kukatpally,4.81,36,291.34,1.1,2025-01-23 18:51:00,Card
72,117,1097,Hyderabad,Kukatpally,5.75,49,229.34,2.1,2025-01-03 10:42:00,UPI
73,149,1089,Hitech City,Gachibowli,7.18,49,100.81,1.6,2025-01-21 01:06:00,Card
74,150,1049,Kukatpally,Gachibowli,6.21,14,267.34,1.6,2025-01-25 23:53:00,UPI
75,126,1090,Gachibowli,Secunderabad,19.82,45,86.23,2.3,2025-01-08 09:43:00,Card
76,120,1029,Hyderabad,Madhapur,3.91,28,97.3,2.1,2025-01-30 06:55:00,Cash
77,140,1060,Gachibowli,Hitech City,11.69,37,283.69,2.1,2025-01-17 00:49:00,Cash
78,113,1055,Madhapur,Secunderabad,3.06,10,259.11,1.8,2025-01-05 02:35:00,Cash
79,147,1032,Kukatpally,Hitech City,6.87,60,428.27,2.3,2025-01-21 05:00:00,Card
80,142,1020,Kukatpally,Madhapur,24.34,50,221.3,2.3,2025-01-09 08:00:00,Cash
81,113,1088,Madhapur,Hitech City,10.79,43,431.71,1.4,2025-01-03 08:21:00,Card
82,134,1099,Kukatpally,Hitech City,15.86,15,159.31,1.8,2025-01-21 14:54:00,Card
83,115,1013,Hitech City,Secunderabad,22.39,47,422.66,1.6,2025-01-16 20:26:00,UPI
84,134,1026,Kukatpally,Hitech City,8.6,60,148.27,2.1,2025-01-15 15:53:00,UPI
85,108,1037,Kukatpally,Gachibowli,10.94,50,131.99,2.4,2025-01-02 20:21:00,UPI
86,118,1090,Madhapur,Madhapur,13.44,57,252.32,1.8,2025-01-19 16:23:00,UPI
87,140,1014,Hitech City,Kukatpally,9.69,19,292.93,2.1,2025-01-28 19:10:00,UPI
88,146,1095,Hitech City,Gachibowli,3.0,46,215.66,2.4,2025-01-12 01:37:00,Cash
89,140,1016,Hyderabad,Hitech City,13.92,29,216.55,2.4,2025-01-30 08:34:00,UPI
90,119,1062,Madhapur,Madhapur,6.98,11,142.98,1.8,2025-01-16 07:57:00,UPI
91,139,1008,Hyderabad,Hitech City,4.92,55,421.39,2.1,2025-01-27 03:19:00,Card
92,115,1054,Kukatpally,Gachibowli,15.16,31,309.69,1.5,2025-01-03 22:29:00,Card
93,139,1014,Kukatpally,Secunderabad,16.92,26,176.86,2.3,2025-01-29 23:11:00,UPI
94,120,1052,Gachibowli,Kukatpally,17.03,25,174.1,2.2,2025-01-23 10:50:00,Cash
95,123,1006,Hitech City,Hitech City,8.45,15,214.95,1.1,2025-01-04 10:26:00,Cash
96,122,1000,Hyderabad,Hitech City,5.45,34,264.86,1.1,2025-01-18 18:31:00,UPI
97,106,1098,Kukatpally,Secunderabad,23.8,44,360.02,2.1,2025-01-23 13:21:00,UPI
98,142,1062,Madhapur,Kukatpally,11.87,53,365.48,1.5,2025-01-05 08:41:00,Card
99,101,1085,Hitech City,Gachibowli,16.98,37,294.09,1.2,2025-01-29 11:35:00,Cash
100,126,1084,Kukatpally,Hitech City,7.79,32,412.37,1.5,2025-01-26 11:12:00,UPI
101,140,1006,Hyderabad,Hitech City,4.4,36,225.96,1.7,2025-01-01 19:36:00,UPI
102,133,1019,Hyderabad,Hitech City,14.21,53,158.48,1.2,2025-01-24 14:28:00,Cash
103,102,1031,Gachibowli,Hitech City,12.45,33,371.25,2.0,2025-01-12 02:12:00,Card
104,106,1070,Gachibowli,Madhapur,14.36,59,74.52,1.4,2025-01-15 16:38:00,Card
105,137,1027,Hyderabad,Hitech City,3.61,8,124.93,1.7,2025-01-14 00:09:00,UPI
106,112,1082,Hyderabad,Madhapur,17.19,47,401.79,1.3,2025-01-11 03:06:00,UPI
107,135,1072,Madhapur,Hitech City,13.74,10,201.45,2.2,2025-01-29 09:22:00,Card
108,131,1045,Madhapur,Gachibowli,9.11,45,167.11,1.4,2025-01-30 01:43:00,UPI
109,125,1090,Gachibowli,Secunderabad,6.52,28,177.92,2.3,2025-01-18 17:31:00,UPI
110,146,1050,Madhapur,Secunderabad,11.85,9,264.14,2.2,2025-01-04 16:18:00,Cash
111,113,1014,Madhapur,Gachibowli,21.04,9,432.68,1.6,2025-01-15 07:32:00,Cash
